,test_score,training_score,cv_mean_score,cv_vs_test,train_vs_test
ridge,0.7640182009100455,0.7657844154960988,0.7657104138883964,0.1692212978350982,0.17662145860533052
tree,0.768138406920346,0.777801112464523,0.7698386524622549,0.17002455419089513,0.966270554417703
bernoulli,0.7645582279113956,0.7661504367253301,0.7660744354896807,0.1516207578285078,0.15922088139345147
